Sample	posterior	likelihood	prior	Tree.t:seq87_RBD_masked.CFheight	Tree.t:seq87_RBD_masked.CFlength	Tree.t:seq87_RBD_masked.nConv	Tree.t:seq87_RBD_masked.nUselessConvs	Tree.t:seq87_RBD_masked.meanEdgeLength	Tree.t:seq87_RBD_masked.meanDepartureHeight	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanTractLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanRegionLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanEndSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomEndSite	rho.t:seq87_RBD_masked	delta.t:seq87_RBD_masked	popSize.t:seq87_RBD_masked	clockRate.c:seq87_RBD_masked	gammaShape.s:seq87_RBD_masked	freqParameter.s:seq87_RBD_masked.1	freqParameter.s:seq87_RBD_masked.2	freqParameter.s:seq87_RBD_masked.3	freqParameter.s:seq87_RBD_masked.4	kappa.s:seq87_RBD_masked	ClockPrior.c:seq87_RBD_masked	deltaPrior.t:seq87_RBD_masked	FrequenciesPrior.s:seq87_RBD_masked	GammaShapePrior.s:seq87_RBD_masked	KappaPrior.s:seq87_RBD_masked	rhoPrior.t:seq87_RBD_masked	popSizePrior.t:seq87_RBD_masked	monophyletic(all)	logP(mrca(all))	mrca.date(all)
200000	-10411.500059763546	-9130.251658578642	-1281.2484011849053	1991.804955711126	20378.133554449847	18	0	349.61050057375473	511.84010313807335	157.11111111111111	27.22222222222222	233.94444444444446	390.05555555555554	281.0	199.0	8.25057091305291E-7	251.74843597623746	2531.3479894673033	2.3610182908428425E-4	0.3385836510347037	0.28098697186456045	0.19192107863326424	0.13623659864608112	0.39085535085609413	4.178839434310594	5.549316103850838	-4.844579200400469	0.0	-0.3385836510347037	-2.6312928814729815	-12.131633477093667	-13.815510557964274	0	-9.615805480084347	28.195044288873987
210000	-10408.239569794607	-9074.56743677378	-1333.6721330208272	2014.394824055268	21532.965020632353	20	0	289.0369123663976	452.85640911618265	180.05	25.344827586206897	250.3	429.35	0.0	688.0	1.450748288155444E-6	261.84630676842283	2554.5083194142544	2.4062088758400262E-4	0.32106911776423147	0.30905130552676285	0.19192107863326424	0.12678020747997956	0.37224740835999326	4.7199507606501125	5.576512733933016	-4.8316433083694434	0.0	-0.32106911776423147	-2.7913145122685075	-10.759391241296612	-13.815510557964274	0	-9.615805480084347	5.605175944732082
220000	-10415.294485377495	-9063.049498733035	-1352.2449866444601	1985.241679987341	22279.917540030616	20	0	401.5014354648708	437.2123199979466	197.55	24.5	264.3	460.85	0.0	274.0	1.5674256980378137E-6	298.4028575296008	2752.8649914838084	2.52368817269129E-4	0.3427529018825426	0.30617750236276936	0.19284059673025977	0.12678020747997956	0.3742016934269912	4.831067360828816	5.646152522381302	-5.125917431920582	0.0	-0.3427529018825426	-2.8229743287494884	-10.577514774567797	-13.815510557964274	0	-9.615805480084347	34.75832001265894
230000	-10429.917178606755	-9065.862088811642	-1364.0550897951127	1963.8754077062338	22280.497693222154	20	0	398.6059522575511	389.91352542501124	153.95	23.70967741935484	245.5	398.45	673.0	258.0	1.2079171600091908E-6	194.16565131218957	3659.2569622286514	2.4346531379489022E-4	0.3427529018825426	0.30617750236276936	0.19284059673025977	0.12678020747997956	0.3742016934269912	4.831067360828816	5.5935147195410915	-5.697793832062461	0.0	-0.3427529018825426	-2.8229743287494884	-11.196052347479274	-13.815510557964274	0	-9.615805480084347	56.12459229376623
240000	-10384.993930097859	-9032.428169291432	-1352.5657608064273	1820.796683874512	20417.391649632682	20	0	391.4875625560695	280.61264301374246	154.95	23.70967741935484	242.95	396.9	435.0	734.0	7.483805214219168E-7	215.33562153722377	2655.02192482974	2.6172861362768217E-4	0.3738704657703921	0.30559981124475566	0.18705212353572048	0.13314637179253255	0.3742016934269912	4.831067360828816	5.70053827270182	-5.229942879326041	0.0	-0.3738704657703921	-2.8229743287494884	-12.376865881331156	-13.815510557964274	0	-9.615805480084347	199.20331612548807
250000	-10368.103287942406	-9026.405575563684	-1341.6977123787217	1748.5952779740887	19209.439798872998	20	0	343.0684533638364	263.9420669439006	153.65	23.70967741935484	212.15	364.8	225.0	19.0	1.5386928382252714E-6	240.80310221522365	2504.9441749284283	2.815315630957114E-4	0.28570010400332546	0.3119714188211897	0.1830233550894358	0.13050976437445738	0.37449546171491693	4.5703940473999065	5.812396313493374	-4.904665715544649	0.0	-0.28570010400332546	-2.748076250842665	-10.620878813047295	-13.815510557964274	0	-9.615805480084347	271.40472202591127
260000	-10375.390292948323	-9013.561301990416	-1361.8289909579062	1949.6776068322656	21340.684061844215	20	0	406.39554293296624	286.35056520803295	153.85	23.70967741935484	255.4	408.25	445.0	56.0	1.0280276043194205E-6	284.8933048268533	3099.2876236049815	2.530898683125855E-4	0.3321877776254632	0.3119714188211897	0.18269710716451384	0.13573987052240144	0.36959160349189485	4.232857969595923	5.650376845243131	-4.954896863673346	0.0	-0.3321877776254632	-2.6477244198449865	-11.587388924403625	-13.815510557964274	0	-9.615805480084347	70.32239316773439
270000	-10349.67394230418	-8994.363552287257	-1355.3103900169224	1957.6644307066797	20884.209292584503	20	0	331.3336174676309	259.4025594960432	143.45	22.96875	234.8	377.25	352.0	341.0	1.1964936071764718E-6	281.79012868640143	2181.9921142168696	2.7152283365473867E-4	0.31952163298366393	0.29212682128963446	0.17773457522516203	0.1392088237230564	0.39092977976214693	5.01583281876803	5.756406057356141	-4.925923480266806	0.0	-0.31952163298366393	-2.8747705543566533	-11.218932225053694	-13.815510557964274	0	-9.615805480084347	62.335569293320304
280000	-10327.725634808136	-8987.313716980017	-1340.4119178281185	1945.4140519479408	20557.839243718987	20	0	290.03449905626127	288.5208257925883	169.8	22.96875	197.35	366.15	4.0	341.0	1.0431226485066265E-6	218.09106141624682	2177.9839030700314	2.896352512971681E-4	0.31731378908939506	0.29212682128963446	0.17773457522516203	0.1392088237230564	0.39092977976214693	4.427941651605505	5.85691406804567	-5.182233365276178	0.0	-0.31731378908939506	-2.7062026519770566	-11.551746668611448	-13.815510557964274	0	-9.615805480084347	74.58594805205917
290000	-10346.98279155418	-9012.838900449293	-1334.143891104887	1662.105538288935	18763.162376408014	20	1	491.92344929905596	303.7027365855978	156.55	25.137931034482758	177.3	332.85	0.0	734.0	1.3320637078659405E-6	272.42629145178444	2645.755817931581	2.567273248800833E-4	0.3097578692145087	0.3085943450521457	0.17832302138723075	0.1392088237230564	0.37387380983756696	4.808939527627282	5.671599036063656	-4.861844082481757	0.0	-0.3097578692145087	-2.8167006036629685	-10.961801273410975	-13.815510557964274	0	-9.615805480084347	357.8944617110651
